Circuit_ID,Circuit_Name,Country,Latitude,Longitude
adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
ain-diab,Ain Diab,Morocco,33.5786,-7.6875
aintree,Aintree,UK,53.4769,-2.94056
albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
americas,Circuit of the Americas,USA,30.1328,-97.6411
anderstorp,Scandinavian Raceway,Sweden,57.2653,13.6042
avus,AVUS,Germany,52.4806,13.2514
bahrain,Bahrain International Circuit,Bahrain,26.0325,50.5106
baku,Baku City Circuit,Azerbaijan,40.3725,49.8533
boavista,Circuito da Boavista,Portugal,41.1705,-8.67325
brands_hatch,Brands Hatch,UK,51.3569,0.263056
bremgarten,Circuit Bremgarten,Switzerland,46.9589,7.40194
buddh,Buddh International Circuit,India,28.3487,77.5331
catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
charade,Charade Circuit,France,45.7472,3.03889
dallas,Fair Park,USA,32.7774,-96.7587
detroit,Detroit Street Circuit,USA,42.3298,-83.0401
dijon,Dijon-Prenois,France,47.3625,4.89913
donington,Donington Park,UK,52.8306,-1.37528
essarts,Rouen-Les-Essarts,France,49.3306,1.00458
estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
fuji,Fuji Speedway,Japan,35.3717,138.927
galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
george,Prince George Circuit,South Africa,-33.0486,27.8736
hockenheimring,Hockenheimring,Germany,49.3278,8.56583
hungaroring,Hungaroring,Hungary,47.5789,19.2486
imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
indianapolis,Indianapolis Motor Speedway,USA,39.795,-86.2347
interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
istanbul,Istanbul Park,Turkey,40.9517,29.405
